"name","dateEstablished","city","country","longitude","latitude"
"Wendy's","2019","Sioux City","US",-96.3579,42.4853
"Subway","2015","Dayton","US",-84.1591,39.7333
"Subway","2019","Prescott Valley","US",-112.32638,34.601933
"Yummy Chinese Restaurant","2016","Elkhart","US",-86.0592,41.6646
"McDonald's","2019","Kingman","US",-114.03095,35.32279
"Jersey Mike's Subs","2019","Tempe","US",-111.95962,33.34856
"Which Wich","2019","Tempe","US",-111.94099,33.42795
"Jack in the Box","2019","Tempe","US",-111.92597,33.43989
"Long John Silver's","2019","Peoria","US",-112.23672,33.58175
"Long John Silver's","2019","Glendale","US",-112.20255,33.71117
"Wendy's","2016","Horsham","US",-75.131,40.1801
"McDonald's","2019","Mesa","US",-111.84065,33.39237
"Panera Bread","2017","Ocala","US",-82.1625,29.1693
"Dairy Queen","2019","Laughlin","US",-114.57465,35.16116
"KFC","2019","Ruskin","US",-82.3936,27.7136
"Domino's Pizza","2016","Cape Coral","US",-81.9912,26.5799
"Waffle House","2017","Colorado Springs","US",-104.7217,38.8469
"Round Table Pizza","2016","San Jose","US",-121.9545,37.3235
"McDonald's","2019","Scottsdale","US",-111.94382,33.62542
"Shake Shack","2019","Scottsdale","US",-111.9293,33.50237
"Charley's Grilled Subs","2019","Glendale","US",-112.32674,33.534878
"Moe's Southwest Grill","2017","Citrus Heights","US",-121.272,38.6643
"Taco Bell","2018","Glendale","US",-112.20255,33.71117
"Pizza Hut","2019","Shenandoah","US",-95.38519,40.76579
"Krispy Kreme","2019","Victorville","US",-117.3227,34.5211
"McDonald's","2016","Oelwein","US",-91.91185,42.67841
"In-N-Out Burger","2019","Mesa","US",-111.8577,33.3901
"Taco Bell","2019","Mesa","US",-111.7732,33.4077
"Pizza Hut","2016","Marietta","US",-84.5802,33.9516
"Subway","2019","Lake Mills","US",-93.53664,43.41988
"Charley's Grilled Subs","2019","Waukee","US",-93.83493,41.614883
"Taco Bell","2017","Newton","US",-93.07621,41.6873
"McDonald's","2015","Horsham","US",-75.1287,40.175
"Panera Bread","2018","Pompano Beach","US",-80.1013,26.2571
"McDonald's","2017","Valrico","US",-82.2532,27.9384
"Quiznos","2015","Saint Petersburg","US",-82.679,27.8015
"Moe's Southwest Grill","2016","Pinellas Park","US",-82.6977,27.8393
"Boston Market","2017","West Palm Beach","US",-80.1109,26.6512
"Quiznos","2018","Jacksonville","US",-81.7307,30.3184
"Jimmy John's","2017","Port Saint Lucie","US",-80.3176,27.2719
"Chick-fil-A","2018","Fort Pierce","US",-80.3813,27.4188
"Subway","2019","Pella","US",-92.91674,41.40544
"Subway","2019","Keokuk","US",-91.38791,40.40032
"Togo's Eatery","2019","Merced","US",-120.4692,37.3194
"Guppy's On The Go Carryout Pizza","2016","Tripoli","US",-92.26427,42.80243
"Burger King - Temporarily Closed","2019","Altoona","US",-93.50074,41.65844
"Arby's","2017","Spirit Lake","US",-95.12616,43.40694
"Taco Bell","2017","Oskaloosa","US",-92.65236,41.29596
"Jimmy John's","2019","Clive","US",-93.73664,41.60481
